idID;Gemeente;Gebied;Ernstig overgewicht (%)
518;'s-Gravenhage;Gemeente;
518;'s-Gravenhage;Wijk 02 Belgisch Park;11
518;'s-Gravenhage;Wijk 03 Westbroekpark en Duttendel;9
518;'s-Gravenhage;Wijk 04 Benoordenhout;8
518;'s-Gravenhage;Wijk 05 Archipelbuurt;9
518;'s-Gravenhage;Wijk 06 Van Stolkpark en Scheveningse Bo;10
518;'s-Gravenhage;Wijk 07 Scheveningen;13
518;'s-Gravenhage;Wijk 08 Duindorp;19
518;'s-Gravenhage;Wijk 09 Geuzen- en Statenkwartier;10
518;'s-Gravenhage;Wijk 10 Zorgvliet;8
518;'s-Gravenhage;Wijk 11 Duinoord;9
518;'s-Gravenhage;Wijk 12 Bomen- en Bloemenbuurt;12
518;'s-Gravenhage;Wijk 13 Vogelwijk;9
518;'s-Gravenhage;Wijk 14 Bohemen en Meer en Bos;13
518;'s-Gravenhage;Wijk 15 Kijkduin en Ockenburgh;11
518;'s-Gravenhage;Wijk 16 Kraayenstein en de Uithof;15
518;'s-Gravenhage;Wijk 17 Loosduinen;16
518;'s-Gravenhage;Wijk 18 Waldeck;16
518;'s-Gravenhage;Wijk 19 Vruchtenbuurt;12
518;'s-Gravenhage;Wijk 20 Valkenboskwartier;13
518;'s-Gravenhage;Wijk 21 Regentessekwartier;12
518;'s-Gravenhage;Wijk 22 Zeeheldenkwartier;11
518;'s-Gravenhage;Wijk 23 Willemspark;10
518;'s-Gravenhage;Wijk 24 Haagse Bos;14
518;'s-Gravenhage;Wijk 25 Mariahoeve en Marlot;15
518;'s-Gravenhage;Wijk 26 Bezuidenhout;12
518;'s-Gravenhage;Wijk 27 Stationsbuurt;13
518;'s-Gravenhage;Wijk 28 Centrum;13
518;'s-Gravenhage;Wijk 29 Schildersbuurt;21
518;'s-Gravenhage;Wijk 30 Transvaalkwartier;20
518;'s-Gravenhage;Wijk 31 Rustenburg en Oostbroek;17
518;'s-Gravenhage;Wijk 32 Leyenburg;16
518;'s-Gravenhage;Wijk 33 Bouwlust en Vrederust;20
518;'s-Gravenhage;Wijk 34 Morgenstond;19
518;'s-Gravenhage;Wijk 35 Zuiderpark;22
518;'s-Gravenhage;Wijk 36 Moerwijk;19
518;'s-Gravenhage;Wijk 37 Groente- en Fruitmarkt;19
518;'s-Gravenhage;Wijk 38 Laakkwartier en Spoorwijk;17
518;'s-Gravenhage;Wijk 39 Binckhorst;14
518;'s-Gravenhage;Wijk 40 Wateringse Veld;15
518;'s-Gravenhage;Wijk 41 Hoornwijk;12
518;'s-Gravenhage;Wijk 42 Ypenburg;13
518;'s-Gravenhage;Wijk 43 Forepark;10
518;'s-Gravenhage;Wijk 44 Leidschenveen;14
796;'s-Hertogenbosch;Gemeente;
796;'s-Hertogenbosch;Binnenstad;12
796;'s-Hertogenbosch;Zuidoost;15
796;'s-Hertogenbosch;Graafsepoort;15
796;'s-Hertogenbosch;Muntel / Vliert;14
796;'s-Hertogenbosch;Rosmalen-Zuid;13
796;'s-Hertogenbosch;Rosmalen-Noord;13
796;'s-Hertogenbosch;De Groote Wielen;12
796;'s-Hertogenbosch;Empel;13
796;'s-Hertogenbosch;Noord;17
796;'s-Hertogenbosch;Maaspoort;15
796;'s-Hertogenbosch;West;15
796;'s-Hertogenbosch;Engelen;12
796;'s-Hertogenbosch;Nuland;14
796;'s-Hertogenbosch;Vinkel;16
1680;Aa en Hunze;Gemeente;
1680;Aa en Hunze;Wijk 00 Annen;15
1680;Aa en Hunze;Wijk 01 Eext;15
1680;Aa en Hunze;Wijk 02 Anloo;17
