id;Gemeente;Gebied;Overgewicht (%)
518;'s-Gravenhage;Gemeente;
518;'s-Gravenhage;Wijk 02 Belgisch Park;40
518;'s-Gravenhage;Wijk 03 Westbroekpark en Duttendel;38
518;'s-Gravenhage;Wijk 04 Benoordenhout;37
518;'s-Gravenhage;Wijk 05 Archipelbuurt;37
518;'s-Gravenhage;Wijk 06 Van Stolkpark en Scheveningse Bo;39
518;'s-Gravenhage;Wijk 07 Scheveningen;45
518;'s-Gravenhage;Wijk 08 Duindorp;55
518;'s-Gravenhage;Wijk 09 Geuzen- en Statenkwartier;40
518;'s-Gravenhage;Wijk 10 Zorgvliet;37
518;'s-Gravenhage;Wijk 11 Duinoord;36
518;'s-Gravenhage;Wijk 12 Bomen- en Bloemenbuurt;43
518;'s-Gravenhage;Wijk 13 Vogelwijk;40
518;'s-Gravenhage;Wijk 14 Bohemen en Meer en Bos;47
518;'s-Gravenhage;Wijk 15 Kijkduin en Ockenburgh;45
518;'s-Gravenhage;Wijk 16 Kraayenstein en de Uithof;52
518;'s-Gravenhage;Wijk 17 Loosduinen;52
518;'s-Gravenhage;Wijk 18 Waldeck;52
518;'s-Gravenhage;Wijk 19 Vruchtenbuurt;45
518;'s-Gravenhage;Wijk 20 Valkenboskwartier;45
518;'s-Gravenhage;Wijk 21 Regentessekwartier;42
518;'s-Gravenhage;Wijk 22 Zeeheldenkwartier;39
518;'s-Gravenhage;Wijk 23 Willemspark;38
518;'s-Gravenhage;Wijk 24 Haagse Bos;46
518;'s-Gravenhage;Wijk 25 Mariahoeve en Marlot;48
518;'s-Gravenhage;Wijk 26 Bezuidenhout;41
518;'s-Gravenhage;Wijk 27 Stationsbuurt;43
518;'s-Gravenhage;Wijk 28 Centrum;43
518;'s-Gravenhage;Wijk 29 Schildersbuurt;58
518;'s-Gravenhage;Wijk 30 Transvaalkwartier;57
518;'s-Gravenhage;Wijk 31 Rustenburg en Oostbroek;52
518;'s-Gravenhage;Wijk 32 Leyenburg;52
518;'s-Gravenhage;Wijk 33 Bouwlust en Vrederust;56
518;'s-Gravenhage;Wijk 34 Morgenstond;54
518;'s-Gravenhage;Wijk 35 Zuiderpark;62
518;'s-Gravenhage;Wijk 36 Moerwijk;56
518;'s-Gravenhage;Wijk 37 Groente- en Fruitmarkt;56
518;'s-Gravenhage;Wijk 38 Laakkwartier en Spoorwijk;53
518;'s-Gravenhage;Wijk 39 Binckhorst;49
518;'s-Gravenhage;Wijk 40 Wateringse Veld;51
518;'s-Gravenhage;Wijk 41 Hoornwijk;46
518;'s-Gravenhage;Wijk 42 Ypenburg;49
518;'s-Gravenhage;Wijk 43 Forepark;46
518;'s-Gravenhage;Wijk 44 Leidschenveen;49
796;'s-Hertogenbosch;Gemeente;
